step,train_loss,epoch
49,-213.8266143798828,0
99,-543.2028198242188,1
149,-1197.3121337890625,2
199,-2196.416259765625,3
249,-3381.3095703125,4
299,-5230.6064453125,5
349,-6417.59130859375,6
399,-7717.396484375,7
449,-9462.3515625,8
499,-10655.833984375,9
549,-16282.6865234375,10
599,-20739.162109375,11
649,-25500.75,12
699,-23845.46484375,13
749,-28732.6796875,14
799,-31076.337890625,15
849,-36167.92578125,16
899,-41744.09375,17
949,-54641.4921875,18
999,-55282.96875,19
1049,-44327.47265625,20
1099,-51007.9140625,21
1149,-65235.06640625,22
1199,-67236.921875,23
1249,-71453.8125,24
1299,-76361.796875,25
1349,-76110.5625,26
1399,-97888.625,27
1449,-109980.2578125,28
1499,-125322.390625,29
