train_loss,epoch,step
-16.338294982910156,0,49
-123.50523376464844,1,99
-225.40078735351562,2,149
-492.6121826171875,3,199
-579.5966796875,4,249
-1013.1820068359375,5,299
-1189.6156005859375,6,349
-1308.91357421875,7,399
-2922.491943359375,8,449
-2887.914794921875,9,499
-3271.411865234375,10,549
-3925.313232421875,11,599
-4306.45556640625,12,649
-4553.43994140625,13,699
-6445.435546875,14,749
-6946.35009765625,15,799
-7835.060546875,16,849
-10024.5185546875,17,899
-8756.681640625,18,949
-11857.5283203125,19,999
-11458.466796875,20,1049
-10728.83984375,21,1099
-13436.2568359375,22,1149
-16577.029296875,23,1199
-17632.23046875,24,1249
-19496.322265625,25,1299
-18288.423828125,26,1349
-26885.3828125,27,1399
-21555.416015625,28,1449
-26225.40234375,29,1499
-23444.26171875,30,1549
-22808.458984375,31,1599
-32591.650390625,32,1649
-27839.736328125,33,1699
-25213.75390625,34,1749
-29933.623046875,35,1799
-26890.166015625,36,1849
-37063.9140625,37,1899
-29390.34375,38,1949
-33610.80078125,39,1999
-40433.0625,40,2049
-46308.33984375,41,2099
-47119.24609375,42,2149
-56909.77734375,43,2199
-51770.2421875,44,2249
-39587.03125,45,2299
-49461.3125,46,2349
-50046.06640625,47,2399
-69181.0078125,48,2449
-64563.38671875,49,2499
