train_loss,step,epoch
-14.667991638183594,49,12
-74.19666290283203,99,24
-281.3504943847656,149,37
-868.8926391601562,199,49
-2256.04052734375,249,62
-5040.60009765625,299,74
-9919.994140625,349,87
-17812.92578125,399,99
-29387.7265625,449,112
-46032.42578125,499,124
-68726.1484375,549,137
-99630.8046875,599,149
-139018.4375,649,162
-185103.203125,699,174
-247100.671875,749,187
-322434.03125,799,199
-412783.46875,849,212
-514001.96875,899,224
-625506.5625,949,237
-770490.625,999,249
-928338.1875,1049,262
-1100628.875,1099,274
-1318005.75,1149,287
-1537118.5,1199,299
-1795528.25,1249,312
-2074751.25,1299,324
-2399615.0,1349,337
-2728242.5,1399,349
-3088116.0,1449,362
-3514699.25,1499,374
-3966752.0,1549,387
-4473404.0,1599,399
-4929422.5,1649,412
-5536835.0,1699,424
-6139375.5,1749,437
-6746913.0,1799,449
-7548834.5,1849,462
-8204494.5,1899,474
-8974942.0,1949,487
-9783194.0,1999,499
-10801494.0,2049,512
-11698737.0,2099,524
-12739831.0,2149,537
-13686819.0,2199,549
-14963414.0,2249,562
-15922957.0,2299,574
-17144110.0,2349,587
-18606758.0,2399,599
-19935740.0,2449,612
-21134854.0,2499,624
-22770422.0,2549,637
-24274058.0,2599,649
-25811108.0,2649,662
-27315732.0,2699,674
-29247768.0,2749,687
-31361878.0,2799,699
-33136024.0,2849,712
-34701144.0,2899,724
-36976584.0,2949,737
-39018140.0,2999,749
-41720520.0,3049,762
-43971324.0,3099,774
-45851268.0,3149,787
-48225192.0,3199,799
-51117484.0,3249,812
-53587528.0,3299,824
-56620008.0,3349,837
-59519756.0,3399,849
-61825404.0,3449,862
-64749796.0,3499,874
-68016456.0,3549,887
-71617496.0,3599,899
-74534352.0,3649,912
-78406824.0,3699,924
-81159544.0,3749,937
-84783464.0,3799,949
-88466664.0,3849,962
-93125976.0,3899,974
-97218104.0,3949,987
-99905768.0,3999,999
